Client_ID,AUM_Millions,Months_as_Client,Advisor_Meetings_Last_6M,Portfolio_Risk_Score,Recent_Market_Losses_Pct,Client_Age,Will_Churn
WM-00001,9.46,34,3,6.7,1.97,62,0
WM-00002,1.08,40,0,3.4,4.03,30,0
WM-00003,6.75,26,1,6.8,34.87,43,0
WM-00004,6.02,56,3,5.4,3.18,38,0
WM-00005,12.14,28,3,7.4,2.56,55,0
WM-00006,16.28,21,4,5.4,60.0,42,1
WM-00007,6.54,29,3,4.0,2.18,60,0
WM-00008,8.13,83,2,6.4,3.69,50,0
WM-00009,4.24,27,3,8.8,3.55,39,0
WM-00010,4.1,28,1,5.1,21.6,49,0
WM-00011,2.74,31,2,3.2,2.28,46,0
WM-00012,9.26,54,2,7.7,0.55,48,1
WM-00013,1.66,55,5,4.8,1.4,45,0
WM-00014,2.02,13,2,3.7,1.16,49,0
WM-00015,2.72,18,5,8.5,13.11,43,0
WM-00016,9.34,35,6,7.0,1.29,55,0
WM-00017,15.67,43,6,5.6,0.99,55,0
WM-00018,3.91,33,2,5.0,14.6,43,1
WM-00019,6.79,22,0,5.6,3.74,50,0
WM-00020,3.33,51,1,6.0,2.44,50,0
WM-00021,8.71,46,3,2.6,0.78,62,0
WM-00022,26.29,19,2,8.8,6.06,54,0
WM-00023,6.39,37,5,5.9,1.79,53,0
WM-00024,14.25,97,4,8.5,0.91,57,0
WM-00025,5.04,85,3,2.7,2.62,44,0
WM-00026,6.6,50,3,6.8,3.63,57,0
WM-00027,5.3,48,1,3.5,15.34,58,0
WM-00028,3.17,26,4,3.8,1.26,43,0
WM-00029,6.55,53,2,3.6,6.53,45,0
WM-00030,22.33,79,4,7.7,1.9,52,0
WM-00031,1.19,31,2,3.3,3.31,57,0
WM-00032,1.29,58,4,3.5,3.91,42,0
WM-00033,1.43,28,1,1.3,30.51,47,1
WM-00034,7.05,71,3,4.6,0.44,60,0
WM-00035,5.35,83,4,3.5,3.64,48,0
WM-00036,1.87,41,0,4.7,13.19,35,1
WM-00037,3.94,23,1,5.6,44.28,40,1
WM-00038,9.61,78,3,4.5,1.86,56,0
WM-00039,4.57,88,0,7.1,1.08,45,0
WM-00040,1.43,29,1,1.9,12.72,38,1
WM-00041,22.92,186,3,8.6,3.78,61,0
WM-00042,3.37,23,1,2.5,3.29,46,0
WM-00043,11.94,54,4,6.7,4.96,52,0
WM-00044,2.17,33,2,4.0,10.05,37,0
WM-00045,22.14,15,6,5.6,5.32,44,0
WM-00046,4.54,27,5,8.7,2.36,45,0
