Client_ID,AUM_Millions,Months_as_Client,Advisor_Meetings_Last_6M,Portfolio_Risk_Score,Recent_Market_Losses_Pct,Client_Age,Will_Churn
WM-00001,9.46,30,4,3.0,6.26,70,0
WM-00002,3.77,39,3,3.2,6.53,49,0
WM-00003,6.43,12,3,6.6,2.18,69,0
WM-00004,3.41,32,0,2.6,1.04,85,0
WM-00005,11.76,37,1,7.0,0.89,47,0
WM-00006,6.83,20,0,4.9,13.7,55,1
WM-00007,8.15,65,2,5.9,12.2,61,0
WM-00008,5.65,42,4,9.9,12.02,40,0
WM-00009,4.96,42,3,3.1,8.18,71,0
WM-00010,8.03,35,5,8.0,3.02,73,0
WM-00011,6.08,28,3,5.3,5.8,33,0
WM-00012,21.4,8,2,5.3,60.0,63,1
WM-00013,5.86,14,8,8.5,1.71,74,0
WM-00014,21.18,16,0,7.7,4.87,64,0
WM-00015,2.99,26,6,4.0,23.03,85,0
WM-00016,5.03,39,2,5.9,6.4,65,1
WM-00017,7.88,20,0,8.0,10.82,46,0
WM-00018,2.19,64,4,6.6,1.81,68,0
WM-00019,6.12,91,3,2.9,4.71,56,0
WM-00020,11.78,18,5,2.5,1.01,65,0
WM-00021,6.38,14,5,5.2,13.28,50,0
WM-00022,7.63,47,5,5.9,1.77,55,0
WM-00023,6.51,9,3,7.7,3.0,49,0
WM-00024,51.94,120,4,1.8,1.73,56,0
WM-00025,13.19,26,2,3.6,20.48,83,0
WM-00026,3.13,13,4,5.0,0.09,45,0
WM-00027,1.97,97,0,7.3,60.0,46,1
WM-00028,5.04,34,3,4.6,57.95,34,0
WM-00029,10.27,23,2,7.0,2.93,68,0
WM-00030,3.43,61,1,5.7,20.76,50,0
WM-00031,5.04,98,4,4.7,13.7,66,0
WM-00032,4.74,21,7,4.7,1.34,43,0
WM-00033,12.34,20,3,6.0,11.76,62,0
WM-00034,4.1,38,5,4.3,0.79,41,0
WM-00035,4.99,7,6,8.0,4.46,61,0
WM-00036,9.43,35,2,7.2,5.86,58,0
WM-00037,3.02,162,4,4.4,39.62,84,1
WM-00038,5.25,12,2,3.9,6.75,80,0
WM-00039,3.6,55,3,7.6,3.19,37,0
WM-00040,7.75,40,3,3.3,4.51,58,0
WM-00041,10.6,12,4,7.8,3.11,76,0
WM-00042,7.05,74,3,3.7,9.72,74,0
WM-00043,11.22,9,3,7.2,0.33,77,0
WM-00044,5.97,57,2,6.2,0.94,66,0
WM-00045,2.6,55,3,5.8,2.53,51,0
WM-00046,1.66,28,2,7.9,1.94,60,0
WM-00047,4.96,19,2,3.4,3.09,77,1
WM-00048,13.02,16,6,7.6,0.65,60,0
WM-00049,1.68,15,2,3.9,13.37,57,1
WM-00050,51.26,67,4,3.8,13.62,80,0
WM-00051,10.04,24,1,5.9,2.33,58,0
WM-00052,8.6,31,5,3.4,5.05,67,0
WM-00053,9.87,22,3,4.4,3.1,65,0
WM-00054,74.1,10,0,4.5,14.99,51,0
WM-00055,2.19,19,3,8.1,4.99,59,0
WM-00056,5.43,35,5,5.4,6.35,82,0
WM-00057,4.51,27,2,5.8,1.63,61,0
WM-00058,13.51,35,4,1.9,9.58,85,0
WM-00059,7.56,15,4,2.4,7.26,70,0
WM-00060,19.26,24,1,8.1,7.36,80,0
WM-00061,1.97,37,3,6.5,60.0,59,1
WM-00062,7.35,45,1,6.2,1.37,56,0
WM-00063,16.2,21,2,4.0,0.28,42,0
WM-00064,1.56,27,3,5.6,3.4,66,1
WM-00065,16.67,16,7,7.7,3.68,85,0
WM-00066,2.99,53,6,5.4,1.91,59,0
WM-00067,23.42,7,3,2.8,3.3,41,0
WM-00068,4.37,31,1,5.0,10.65,44,0
WM-00069,9.4,25,2,4.7,6.07,45,0
WM-00070,1.35,113,6,3.2,0.69,65,0
WM-00071,29.35,9,6,3.2,4.32,53,0
WM-00072,42.09,53,2,6.1,2.35,48,0
WM-00073,2.51,134,5,4.3,29.51,35,0
WM-00074,4.42,38,4,7.3,1.39,70,0
WM-00075,64.66,35,2,4.8,0.72,85,0
WM-00076,4.41,39,0,3.2,10.48,51,1
WM-00077,14.52,9,1,9.0,3.42,62,0
WM-00078,19.25,69,5,4.7,5.75,67,1
WM-00079,2.29,69,6,7.3,0.83,64,0
WM-00080,19.11,29,3,3.3,0.75,41,1
WM-00081,6.51,69,6,8.2,13.51,61,0
WM-00082,1.24,24,2,7.0,1.78,34,0
WM-00083,14.67,28,6,8.9,18.18,77,0
WM-00084,6.47,21,4,2.8,2.26,62,0
WM-00085,7.26,11,3,3.7,8.6,71,0
WM-00086,6.65,12,4,5.1,5.86,28,0
WM-00087,3.89,68,4,2.1,13.73,63,0
WM-00088,11.51,69,4,7.4,5.34,49,0
WM-00089,6.21,81,0,9.0,11.07,41,1
WM-00090,7.33,39,7,6.8,5.61,60,0
WM-00091,15.9,16,0,1.6,6.96,51,0
WM-00092,1.0,22,2,4.4,10.49,71,0
WM-00093,10.86,30,3,2.3,3.5,42,0
WM-00094,9.53,32,1,5.3,9.69,73,0
WM-00095,11.45,16,1,8.0,3.07,59,0
WM-00096,3.42,66,3,9.4,11.51,63,0
WM-00097,5.8,177,4,7.1,4.69,45,0
WM-00098,14.73,51,2,6.1,4.81,50,0
WM-00099,8.62,22,5,6.9,14.02,82,0
WM-00100,4.34,38,0,5.2,8.39,51,0
WM-00101,41.6,17,8,8.4,8.82,54,0
WM-00102,14.01,61,3,2.5,15.74,56,0
WM-00103,5.18,61,2,6.4,23.39,67,0
WM-00104,3.26,22,7,4.3,18.31,56,0
WM-00105,17.01,9,1,6.3,16.93,49,1
WM-00106,4.73,34,2,6.2,2.68,47,0
WM-00107,4.53,141,5,4.2,3.03,51,0
WM-00108,3.26,55,2,4.0,6.79,32,0
WM-00109,16.4,15,2,7.1,8.64,46,0
WM-00110,36.71,38,0,5.4,18.62,44,0
WM-00111,7.94,19,8,7.4,8.82,62,0
WM-00112,2.61,50,5,6.8,5.21,42,0
WM-00113,2.48,7,2,4.0,16.57,76,0
WM-00114,3.27,5,0,9.4,0.62,85,0
WM-00115,10.33,60,7,4.4,3.57,64,0
WM-00116,2.57,16,5,2.5,0.68,50,0
WM-00117,9.92,16,1,7.6,23.97,57,0
WM-00118,6.41,36,5,7.6,2.02,71,0
WM-00119,1.97,20,5,7.6,5.97,48,0
WM-00120,1.99,51,2,6.1,3.76,39,0
WM-00121,5.59,201,8,7.5,14.46,71,0
WM-00122,3.74,25,1,6.2,1.33,50,0
WM-00123,7.47,11,6,3.5,10.32,81,0
WM-00124,28.62,48,1,5.3,0.82,77,0
WM-00125,16.15,50,6,4.4,11.43,85,0
WM-00126,3.76,42,5,5.1,1.75,42,0
